param,mean,median,0.950_CI_LB,0.950_CI_UB
hi_param_95,0.203648,0.199602,0.104869,0.327351
hi_param_96,0.056428,0.053627,0.011237,0.116101
hi_param_97,0.168491,0.164024,0.102625,0.263415
hi_param_98,0.230932,0.227838,0.135310,0.347095
hi_param_99,0.149412,0.146329,0.081122,0.238070
hi_param_100,0.144783,0.133957,0.060767,0.270095
hi_param_101,0.215415,0.213022,0.135223,0.308777
hi_param_102,0.223854,0.218115,0.135626,0.345060
hi_param_103,0.220980,0.218261,0.129010,0.335564
hi_param_104,0.168998,0.161048,0.098669,0.275210
hi_param_105,0.140864,0.135766,0.068617,0.240338
hi_param_106,0.051513,0.047803,0.007323,0.116163
hi_param_107,0.078517,0.077111,0.019430,0.146329
hi_param_108,0.085776,0.084713,0.027190,0.154927
hi_param_109,0.045706,0.041864,0.004145,0.109875
hi_param_110,0.048026,0.043889,0.005822,0.114390
hi_param_111,0.073918,0.071842,0.020503,0.140191
hi_param_112,0.119331,0.117361,0.058698,0.193943
hi_param_113,0.133326,0.129474,0.068238,0.217805
hi_param_114,0.038509,0.034764,0.002830,0.095877
hi_param_115,0.171659,0.166881,0.107824,0.263471
hi_param_116,0.114684,0.111752,0.049320,0.196368
hi_param_117,0.101498,0.099497,0.048365,0.167762
hi_param_118,0.080771,0.080001,0.022729,0.146727
hi_param_119,0.064148,0.061986,0.012291,0.128979
hi_param_120,0.054471,0.050613,0.009720,0.118634
hi_param_121,0.110267,0.106896,0.048117,0.194526
hi_param_122,0.282497,0.267602,0.153781,0.487223
hi_param_123,0.265490,0.262888,0.155932,0.389576
hi_param_124,0.287281,0.282964,0.175993,0.415430
hi_param_125,0.176873,0.170929,0.098443,0.286667
hi_param_126,0.110514,0.106831,0.048728,0.192563
hi_param_127,0.140382,0.136646,0.074697,0.228170
hi_param_128,0.373050,0.371723,0.251059,0.499412
hi_param_129,0.278319,0.277030,0.171101,0.390075
hi_param_130,0.196166,0.187411,0.112292,0.319711
hi_param_131,0.498383,0.498184,0.368218,0.615388
hi_param_132,0.293439,0.291691,0.186747,0.401285
hi_param_133,0.217504,0.214369,0.132323,0.319320
hi_param_134,0.253639,0.251684,0.149743,0.376075
hi_param_135,0.345638,0.347819,0.228144,0.442911
hi_param_136,0.321845,0.321541,0.179907,0.493406
hi_param_137,0.289595,0.287555,0.175385,0.419013
hi_param_138,0.253905,0.252073,0.142753,0.371328
hi_param_139,0.351681,0.355059,0.234367,0.451934
hi_param_140,0.297104,0.297142,0.185353,0.406778
hi_param_141,0.470442,0.470197,0.342100,0.583348
hi_param_142,0.299534,0.299378,0.193372,0.404528
hi_param_143,0.290445,0.285371,0.175554,0.422036
hi_param_144,0.335791,0.334405,0.208289,0.477500
hi_param_145,0.396572,0.404359,0.267187,0.506948
hi_param_146,0.188750,0.180325,0.110376,0.300051
hi_param_147,0.269337,0.268139,0.156181,0.394366
hi_param_148,0.355238,0.352330,0.240036,0.481518
hi_param_149,0.238238,0.234855,0.144542,0.354382
hi_param_150,0.157804,0.152937,0.085850,0.259015
hi_param_151,0.303429,0.304180,0.175690,0.413333
hi_param_152,0.286142,0.285423,0.165186,0.387901
hi_param_153,0.314873,0.312331,0.186334,0.466092
hi_param_154,0.185531,0.178824,0.103863,0.304215
hi_param_155,0.353301,0.354579,0.236970,0.450267
hi_param_156,0.710160,0.713570,0.574768,0.819669
hi_param_157,0.366942,0.366603,0.235808,0.509857
hi_param_158,0.320108,0.320355,0.194550,0.453935
hi_param_159,0.351092,0.355887,0.234991,0.457366
hi_param_160,0.357330,0.359598,0.233446,0.465635
hi_param_161,0.237252,0.232843,0.143166,0.362473
hi_param_162,0.306573,0.306415,0.192697,0.437254
hi_param_163,0.306116,0.299741,0.198527,0.437228
hi_param_164,0.252146,0.254073,0.137118,0.368213
hi_param_165,0.354515,0.357803,0.247361,0.442905
hi_param_166,0.335194,0.337184,0.223238,0.436603
hi_param_167,0.379351,0.381567,0.282486,0.460939
hi_param_168,0.418269,0.422365,0.294562,0.535025
hi_param_169,0.351459,0.354600,0.246728,0.442643
hi_param_170,0.442177,0.445658,0.299502,0.572657
hi_param_171,0.350219,0.348884,0.225920,0.479558
hi_param_172,0.382598,0.382038,0.250047,0.505664
hi_param_173,0.431628,0.433239,0.304233,0.550321
hi_param_174,0.374876,0.378079,0.255592,0.473131
hi_param_175,0.297753,0.297138,0.185744,0.428894
hi_param_176,0.308337,0.307742,0.201486,0.414664
hi_param_177,0.343940,0.346508,0.223211,0.448797
hi_param_178,0.357544,0.355991,0.237864,0.483991
hi_param_179,0.368123,0.371607,0.266640,0.454167
hi_param_180,0.458413,0.459012,0.314029,0.589978
hi_param_181,0.296346,0.297982,0.188835,0.396047
hi_param_182,0.296545,0.296580,0.189682,0.405701
hi_param_183,0.365756,0.368332,0.252081,0.462498
hi_param_184,0.366687,0.367847,0.231049,0.505456
hi_param_185,0.438548,0.433128,0.323332,0.583418
hi_param_186,0.425606,0.423532,0.310569,0.539371
hi_param_187,0.337316,0.336338,0.199155,0.480464
hi_param_188,0.343176,0.343933,0.216396,0.465612
hi_param_189,0.482839,0.498256,0.316260,0.608873
hi_param_190,0.322668,0.318787,0.189405,0.476590
hi_param_191,0.386697,0.389031,0.248069,0.517293
hi_param_192,0.449436,0.450474,0.308466,0.580260
hi_param_193,0.420135,0.423107,0.299090,0.540977
hi_param_194,0.277589,0.275493,0.165819,0.398750
hi_param_195,0.475794,0.475334,0.339487,0.601593
hi_param_196,0.599618,0.597536,0.511493,0.696784
hi_param_197,0.412504,0.413493,0.271181,0.553471
hi_param_198,0.319744,0.323288,0.203267,0.425545
hi_param_199,0.517135,0.519328,0.384086,0.639249
hi_param_200,0.392032,0.394341,0.293446,0.495209
hi_param_201,0.399669,0.400354,0.267542,0.528085
hi_param_202,0.350250,0.352521,0.238245,0.443704
hi_param_203,0.330711,0.331978,0.224249,0.428708
hi_param_204,0.561723,0.564069,0.478161,0.649764
hi_param_205,0.507502,0.510686,0.363911,0.620965
hi_param_206,0.467807,0.467987,0.339790,0.574731
hi_param_207,0.621128,0.623234,0.530609,0.697851
hi_param_208,0.477500,0.477493,0.362848,0.589308
hi_param_209,0.405240,0.413816,0.255717,0.526811
hi_param_210,0.595076,0.591944,0.512718,0.690864
hi_param_211,0.477593,0.483667,0.336101,0.615206
hi_param_212,0.452922,0.451851,0.305305,0.572718
hi_param_213,0.372131,0.369479,0.230595,0.520057
hi_param_214,0.366373,0.368263,0.253234,0.464490
hi_param_215,0.387511,0.384665,0.254767,0.523411
hi_param_216,0.337577,0.338409,0.225133,0.443622
hi_param_217,0.416623,0.419331,0.280843,0.555026
hi_param_218,0.293119,0.291095,0.159462,0.444746
hi_param_219,0.411513,0.412736,0.281162,0.529385
hi_param_220,0.463588,0.464047,0.326252,0.594853
hi_param_221,0.419067,0.426754,0.290984,0.534627
hi_param_222,0.362913,0.366843,0.254734,0.456910
hi_param_223,0.618224,0.614833,0.562203,0.687664
hi_param_224,0.328799,0.329132,0.212345,0.445299
hi_param_225,0.396280,0.398335,0.285960,0.484162
hi_param_226,0.465896,0.467303,0.335610,0.597348
hi_param_227,0.424850,0.425334,0.286905,0.565723
hi_param_228,0.468873,0.468397,0.335368,0.602227
hi_param_229,0.454634,0.456070,0.316069,0.584056
hi_param_230,0.385431,0.386311,0.259515,0.537264
hi_param_231,0.447644,0.448240,0.311413,0.580132
hi_param_232,0.446333,0.448277,0.314040,0.574999
hi_param_233,0.482035,0.480562,0.346811,0.607384
hi_param_234,0.408115,0.407264,0.319511,0.520506
hi_param_235,0.505429,0.505662,0.374802,0.625946
hi_param_236,0.452820,0.454422,0.302912,0.600859
hi_param_237,0.553152,0.560643,0.368953,0.642700
hi_param_238,0.521275,0.530680,0.374659,0.619213
hi_param_239,0.420176,0.421748,0.297267,0.537629
hi_param_240,0.404094,0.408963,0.272928,0.517365
hi_param_241,0.399319,0.399731,0.263662,0.520933
hi_param_242,0.364242,0.367569,0.260017,0.454967
hi_param_243,0.461715,0.466117,0.339379,0.577632
hi_param_244,0.464044,0.499976,0.229030,0.608643
hi_param_245,0.570597,0.570471,0.503275,0.649174
hi_param_246,0.487858,0.486257,0.368639,0.598680
hi_param_247,0.482577,0.482955,0.343472,0.612625
hi_param_248,0.322105,0.313924,0.199096,0.477290
hi_param_249,0.455970,0.458370,0.336464,0.562675
hi_param_250,0.521969,0.523213,0.388329,0.639617
hi_param_251,0.506104,0.507850,0.358990,0.635697
hi_param_252,0.377029,0.377092,0.254427,0.498980
hi_param_253,0.420337,0.428791,0.273924,0.540782
hi_param_254,0.489693,0.491274,0.359818,0.610310
hi_param_255,0.530308,0.528380,0.417166,0.628609
hi_param_256,0.433277,0.439343,0.305959,0.552775
hi_param_257,0.556483,0.554945,0.453194,0.652617
hi_param_258,0.488236,0.487743,0.361359,0.608121
hi_param_259,0.423850,0.425666,0.297216,0.546502
hi_param_260,0.496378,0.498688,0.371050,0.612167
hi_param_261,0.553249,0.554059,0.424260,0.676654
hi_param_262,0.372352,0.373122,0.269178,0.468324
hi_param_263,0.410838,0.411703,0.311036,0.554432
hi_param_264,0.446952,0.449708,0.311135,0.566038
hi_param_265,0.459731,0.458745,0.335708,0.578267
hi_param_266,0.508500,0.513949,0.393741,0.613611
hi_param_267,0.445764,0.450865,0.300353,0.567407
hi_param_268,0.533194,0.534980,0.398023,0.658087
hi_param_269,0.463139,0.465313,0.307578,0.600806
hi_param_270,0.503752,0.503673,0.386505,0.611694
hi_param_271,0.521147,0.522171,0.405215,0.634566
hi_param_272,0.445952,0.450326,0.283786,0.602158
hi_param_273,0.623852,0.621386,0.532978,0.725283
hi_param_274,0.434057,0.435521,0.313004,0.552108
hi_param_275,0.603693,0.607485,0.514494,0.674266
hi_param_276,0.440267,0.441004,0.297675,0.568005
hi_param_277,0.485020,0.489056,0.362499,0.594270
hi_param_278,0.477254,0.479702,0.356851,0.593374
hi_param_279,0.611775,0.609105,0.554230,0.685527
hi_param_280,0.551829,0.552988,0.427781,0.671652
hi_param_281,0.368555,0.370341,0.237487,0.462079
hi_param_282,0.491854,0.493848,0.360715,0.606678
hi_param_283,0.409971,0.413278,0.284483,0.518747
hi_param_284,0.474573,0.478590,0.337148,0.592819
hi_param_285,0.646186,0.645702,0.562036,0.731741
hi_param_286,0.341398,0.338475,0.206549,0.478484
hi_param_287,0.526026,0.527128,0.409598,0.651983
hi_param_288,0.579035,0.579284,0.454691,0.697625
hi_param_289,0.534999,0.534407,0.421816,0.644782
hi_param_290,0.468204,0.468207,0.332973,0.604586
hi_param_291,0.411335,0.412091,0.279715,0.546257
hi_param_292,0.449391,0.454445,0.295727,0.591487
hi_param_293,0.508603,0.519506,0.339362,0.616322
hi_param_294,0.501355,0.502898,0.368211,0.619726
hi_param_295,0.493356,0.493584,0.353418,0.626963
hi_param_296,0.517218,0.518093,0.405489,0.626634
hi_param_297,0.504168,0.507069,0.384988,0.613559
hi_param_298,0.455256,0.458327,0.338215,0.567373
hi_param_299,0.586600,0.585086,0.505015,0.677005
hi_param_300,0.519837,0.520100,0.416833,0.629483
hi_param_301,0.411189,0.410308,0.290678,0.535852
hi_param_302,0.434408,0.436284,0.292913,0.565102
hi_param_303,0.606023,0.602659,0.518643,0.712456
hi_param_304,0.580255,0.577292,0.500225,0.673082
hi_param_305,0.463267,0.465881,0.323974,0.596656
hi_param_306,0.527027,0.527364,0.394801,0.642334
hi_param_307,0.403154,0.407544,0.261245,0.526519
